paper_id,author_id,impact_factor,key0,key1,key2,key3,key4,key5,reference_times
1,1,2.136,structure analysis,3D reconstruction,point cloud ,,,,27
2,2,6.729,Motion,Vision and Scene Understanding,,,,,394
3,3,,Big data,data caching,MapReduce,scheduling,,,4
4,4,,distributed architectures,distributed systems organizing principles,human factors,measurement,modeling,performance,732
5,5,2.823,Visual cryptography scheme,multiple secrets,integer linear programming,access structure,secret sharing scheme,,
6,6,2.62,hierarchical clustering,criterion function,constrained agglomerative clustering,data mining ,,,632
7,7,0.359,Linguistics,,,,,,4
8,8,1.877,speaker verification,Channel mismatch,cohort,speaker model synthesis,,,9
9,9,,video predictive encoding,predictive analytics,Vision and Scene Understanding,,,,3
10,10,3.004,QoS,Layered streaming,layered codec,peer-to-peer,adaptation,heterogeneity ,15
11,11,,,,,,,,
12,12,1.437,algorithms,association rules,data mining,experimentation,intra/intertransaction,multidimensional context,186
13,13,2.783,trustworthy incentive mechanism,Buffer map cheating,P2P streaming,,,,8
14,14,,Hardware,Scheduling algorithm,Delay,Quality of service,Web and internet services,Processor scheduling,1
15,15,,,,,,,,
16,16,,,,,,,,
17,17,3.308,Bayesian inference,posterior regularization,Bayesian nonparametrics,large-margin learning,classification,multi-task learning,77
18,18,,,,,,,,
19,19,1.581,Equalizers,Receivers,Impedance,System-on-a-chip,Topology,Resistance,6
20,20,2.823,Algorithm design and analysis,Computational modeling,Performance analysis,Scheduling algorithm,Video coding,Multicore processing,17
21,21,2.136,Animation, Image decomposition,Image segmentation,Coherence,Layout,Image reconstruction,79
22,22,4.063,Vectors,Transforms,Estimation,Motion estimation,Image sequences,Mathematical model,7
23,23,,grid,peer-to-peer,replica location,load balance,Electrical Engineering,,1
24,24,1.942,Lithography, Page description languages,Ultraviolet sources,Resists,Integer linear programming,Circuits,63
25,25,2.374, Social network services,Sociology,Social factors,Large-scale systems,Algorithm design and analysis ,,17
26,26,2.528,Linguistics,,,,,,141
27,27,,Support Vector Machine,Interaction Curation,Kernel Support Vector Machine,Template Feature,Irrelevant Article,,37
28,28,,Network on chip,CMP,message reduction,,,,1
29,29,4.951,Access protocols,Downlink, Transport protocols,Scheduling,Resource management,Wireless networks,14
30,30,2.766,Grid,NSFC Grid,ChinaGrid,,,,36
31,31,1.262,P2P system,Tit-for-Tat strategy,Free-riding,BitTorrent network,,,6
32,32,4.529,ARTIFICIAL INTELLIGENCE,,,,,,3
33,33,,,,,,,,
34,34,,,,,,,,
35,35,0.956,memory gap,IPULOC ,instruction processing unit,,,,2
36,36,,Motion Estimation,Edge Point,Hide State,Stereo Image,Stereo Image Pair ,,8
37,37,1.856,guidance,control,dynamics,AEROSPACE,INSTRUMENTS ,INSTRUMENTATION,22
38,38,,INTEGRATION,,,,,,5
39,39,,,,,,,,
40,40,3.52,Modeling,Transforms,Web and internet services ,System-on-a-chip,XML,Computational modeling,22
41,41,1.954,SOFTWARE ENGINEERING,Simulation Modelling,,,,,11
42,42,,Parallel Transient Stability Simulation,Grid ,,,,,5
43,43,3.376,Routing,Optical fiber communication, Optical transmitters,IP networks,Power demand,,
44,44,,Runtime,Algorithm design and analysis,Educational institutions,Performance analysis,Data structures,Asynchronous communication,11
45,45,3.509,Performance analysis,Traffic control,Information filters,Information filtering,Routing,Bandwidth,28
46,46,0.451,electrical,electronic,telecommunications,Iterative algorithms,Algorithm design and analysis,,4
47,47,,,,,,,,
48,48,1.628,evolvable architecture,design constraints,evolvability evaluation model ,economic adaptability,general address platform ,,6
49,49,0.424,Two-dimensional dyadic wavelet transform,two-dimensional stationary dyadic wavelet transform,decimated dyadic discrete wavelet transform,face recognition,,,5
50,50,,,,,,,,
51,51,1.437,deep learning,lexical semantics,long short-term memory,neural networks,recursive neural network,representation learning,5
52,52,,algorithms,click relevance,click-through data,experimentation,human factors,implicit feedback,5
53,53,1.466,Big data,Critical path,Deadline guarantee,Fault tolerance,Online applications,Stream computing,1
54,54,,algorithms,design,fast poisson solver,functional verification,gpu p/g network,partitioning and floorplanning,52
